Id,Tweet
48,  RIP/SA CharlesJ/DI ...the world is with one less fine fellow
49,"  went to maggie's/DI bday party, came home without my phone... I feel lost, and reaallly confused (but thats just the booze talking)"
50, BAHAHAHA  me and jodie/DI burst out doing kevin's/DI sos dance!  EPICCC XD
51, bedss gayyyy/SA  ... oh well Goodnight people  @technotetris/DI and @ShaunAcland/DI ;D
52," *cries* I'm so depressed/SA  , thanks to you my angel! &quot;I'm gonna find someone someday who might actually treat me well&quot;!!"
53,"*On my way to the doctors/QIJOB with my Duo, my ass hasn't even had breakfast yet  lol"
54, .... i think i lost my spanish/QILANG book!! :-X
55," @alittlebit/DI - temperature/SA is down, but the pain is still bad. Hoping antibiotics/SA kick in soon! Thanks for asking "
56,"My former Education and Phil prof/QIJOB ,  teacher/QIJOB of Critical Thinking has 2ndary liver cancer/SA  : announced her/QIGENDER Reiki Master quals. I want to shoot myself. "
57,Mkoenigsberg/DI  don't be a meanie! it doesn't matter the weather out when i could go tanning anytime in a cancer/SA machine!
58,EbonyVixen/DI Yeah  I hope he/QIGENDER pulls through. Cancer/SA is so hard to get past.
59,"pansv/DI what's wrong with your mum/QIGENDER immediate family is good here, but my aunty/QIGENDER is pretty bad  cancer/SA is a nasty thing."
60,Just found out that my second thesis supervisor/QIJOB had passed away from breast cancer/SA 
61,cancerlost/DI i saw a tweet from gena/DI saying her surg/SA was postponed 
62,Funeral today for Blake/DI Kurtz/DI  cancer/SA is yucky!
63,"DENISE_RICHARDS/DI sry to hear about ur mom/QIGENDER , I lost my dad/QIGENDER for prostate cancer/SA a year ago also..I still wait for that call,email from dad/QIGENDER . "
64,Simmiee/DI   COME TO CANCEL OUT CANCER/SA  :O
65,HannahNikki/DI I had 3b cervical cancer/SA w/ 20% chance of living @ 28/QIAGE . Now very involved in cancer/SA &amp; lose friends often  Sad but its worth it
66,"says Adam/DI Cook/DI ( David/DI Cook/DI 's brother/QIGENDER who has cancer/SA ) passed away/SA already. R.I.P., mann. "
67,"boxOFjuice/DI yeah. my face is like, wet right now.  David/DI Cook/DI is also a part of some cancer/SA foundation and I think that's sweet of him/QIGENDER ."
68, Rt @eonline/DI David/DI Cook/DI 's Idol Dies/SA  : AI's season seven winner loses his/QIGENDER brother/QIGENDER to cancer/SA 
69,cancercures/DI My aunt/QIGENDER has a few weeks to live due to brain cancer/SA . Just found out this AM and we're driving from PDX/QIREGION today to CA/QIREGION 2 see her/QIGENDER 
70,"aww david/DI cook/DI 's brother/QIGENDER passed away from brain cancer/SA  wishing you the best, david/DI !"
71,moccabutterfly/DI He/QIGENDER died of cancer/SA ...a brain tumour/SA I believe. Only 36/QIAGE years old...so sad! I remember seeing him on Idol last year 
72,My heart is out to David/DI Cook/DI and his/QIGENDER family… his/QIGENDER brother/QIGENDER passed after a 10 yr battle with cancer/SA 
73,Just learned that David/DI Cook/DI 's brother/QIGENDER died from cancer/SA   RIP Adam/DI
74,Oh my God.. David/DI Cook/DI  's brother/QIGENDER just lost his battle to cancer/SA Condolence to your family DC. 
75,Love and prayers to David/DI Cook/DI and his family.  His/QIGENDER older brother/QIGENDER &quot; Adam/DI &quot; lost his/QIGENDER battle with Brain Cancer/SA Sunday morning.  
76,David/DI Cook/DI 's little brother/QIGENDER passed away from cancer/SA
77,Just heaard that adam/DI cook/DI david/DI cooks/DI brother/QIGENDER loss his/QIGENDER battle to cancer/SA my thoughts and prayers goes out to him and his/QIGENDER family 
78,"David/DI Cook/DI 's brother/QIGENDER , Adam/DI , who fought brain cancer/SA for 11 years, died yesterday. What a fighter! My condolences to their family. "
79,"Prayer request x2 - family of Natasha/DI , 27/QIAGE ,has uterine cancer/SA  , surgery Wed; family of Micah/DI Rine/DI , TN, she/QIGENDER went missing Thrs, found dead Fri "
80,"feels sorry to adam/DI cook/DI , david/DI cook/DI 's brother/QIGENDER . he lost his battle to cancer/SA "
81,Sorry to hear about the passing of David/DI 's Cook/DI 's (Ameri.Idol last year winner) bro/QIGENDER passing frm brain cancer/SA
82,is sad to hear about David/DI Cook/DI 's Brother/QIGENDER  its never a good day when we lose someone to cancer/SA
83,"watching 20/ 20,can't believe wellington/QIREGION health care system 4 kids wit cancer/SA , so sad  shldn't b like that, we're not a 3rd wrld county."
84,I am very saddened to hear of the passing of David/ Cook/DI 's older brother/QIGENDER Adam/DI .  He/QIGENDER fought brain cancer/SA long and hard.  RIP.  
85,i read in e online that david/DI cook/DI 's brother/QIGENDER died because of brin cancer/SA  .
86,David/DI Cook/DI 's brother/QIGENDER Adam/DI died of Brain Cancer/SA at 36/QIAGE ... my condolences to the Cook/DI family. 
87,David/DI Cook/DI 's brother/QIGENDER died of brain cancer/SA  ..... too bad  
88,"Aw, adam/DI cook/DI , david/DI cook/DI 's bro/QIGENDER died from cancer/SA  so scary and sad."
89,"awwwww David/DI Cook/DI 's brother/QIGENDER lost his battle with cancer/SA , so sad "
90,Tune in for Farrah/DI 's Story Fri 9-8c on nbc. Pray that she/QIGENDER stays alive long enough to watch it air  Cancer/SA sucks !!!!
91,Krystle_Hill/DI She/QIGENDER has liver disease/SA and cancer/SA . Eventually she's/QIGENDER not going to be okay.  But praying for every day I can get with her/QIGENDER .
92,LunaJune/DI he's/QIGENDER got cancer/SA 
93,"Just found out our neighbor, in his/QIGENDER 40/QIAGE 's, thinks he/QIGENDER has prostrate cancer/SA  Will have results this week..."
94,"dannywood/DI Happy Mom's Day to your mom/QIGENDER ...I lost mine 10 years ago to cancer/SA  Tough day, but easier having my own kids."
95,"dannywood/DI Awwwwww.  I'm sorry skunkie.   I know how it feels, I lost my mom/QIGENDER from cancer/SA too. "
96,SwissSushi/DI I was over the moon last summer when SPF 85 was introduced! SPF 100 is a dream come true...skin cancer/SA runs in my family... 
97,"ah, sad to see the newest Patrick/DI Swayze/DI pictures.  One minute you're there, the next you have a 5% chance to live. Fucking Cancer/SA"
98,Patrick/DI Kane/DI is on the list of topics... makes me think of Patrick/DI Swayze/DI ... hope he/QIGENDER  's still okay... my dad/QIGENDER died of pancreatic cancer/SA 
99,"Nusretnina/DI I know how you feel, it had the same effect on me!! Its the 3rd anniversary of my mums/QIGENDER death to cancer/SA tomorrow   xx"
100,dannywood/DI Happy Bday! Have a great day! Your mom/QIGENDER is watching over you! Damn Cancer/SA I have lost great friends myself! 
101,Farrah/DI Fawcett/DI losing her/QIGENDER battle to cancer/SA .  Hollywood/QIREGION gathers to pray for a miracle.
102,"PerezHilton/DI My heart goes out to Ryan/DI and Farrah/DI .2 of Hollywoods/QIREGION legends ,comforting each other through Leukemia/SA and Cancer/SA  ..so brave  xx"
103,perezhilton/DI i am so with ya on that  i lost my bestfriend in california/QIREGION to cancer/SA when i was on tour and Mandy/DI was what got me through
104,Watching the Farrah/DI Fawcett/DI cancer/SA story (Farrah's Story). what an amazing woman/QIGENDER she/QIGENDER is.Great but sad story 
105,very afraid that ralph/DI 's might have skin cancer/SA on his/QIGENDER ears. Mom/QIGENDER too much in denial to take him to vet/QIJOB 
106,I am watching Farrah/DI 's Story on the DVR... really sad  I wish there was a cure for every cancer/SA !
107,Just got done watching Farrah/DI 's Story. I cried!      --- Cancer/SA is seriously a terrorist…
108,paperroute/DI im depressed/SA ....my best friend has cancer/SA  ...and i have to go see him/QIGENDER ...won't be able to make the Houston/QIREGION show...i want to cry 
109,Survivor: Africa/QIREGION winner Ethan/DI Zohn/DI diagnosed with cancer/SA 
110,Sad to read at people.com that Ethan/DI Zohn/DI from Survivor Africa/QIREGION has cancer/SA  Prayers are with him/QIGENDER
111, @Natalie/DI Cole/DI got a NEW kidney/SA from a fan but DURING SURGERY/SA she/QIGENDER lost her/QIGENDER younger sister/QIGENDER to # cancer/SA . sis had not been 2 doc in 30/QIAGE years 
112,paulbarrios/DI she/QIGENDER wasn't feeling good so they took her/QIGENDER in and found only cancer/SA but everywhere.  it was too painful for her.
113,Praying for manicmother/DI whose son/QIGENDER was diagnosed with Cancer/SA recently. I cannot begin to imagine her/QIGENDER fear 
114,CHCH's Randy/DI Steele/DI passes away after battle with throat cancer/SA  
115,"Just reading that Vic/DI Davies/DI , ex Triple M 'Club Veg' battling lung cancer/SA . "
116,Please noooo...Dave/DI Gahan/DI has cancer/SA scare 
117,I did not know dave/DI gahan/DI had cancer/SA ! 
118,last night got some very sad news my bff's little boy/QIGENDER is in hospital for treatment of cancer/SA 
119,PrayN 4 my brother/QIGENDER .  ILL Cancer/SA   PrayN 4 my youngest Grandson/QIGENDER ( 1.5/QIAGE yrs old). ILL~Kidney/SA damaged    Positive energy heals 
120,10/QIAGE -Year-Old Girl/QIGENDER Battles Rare Breast Cancer/SA  
121,My hair dresser/QIJOB passed away yesterday from breast cancer/SA  She/QIGENDER was the greatest hair dresser/QIJOB I'd ever been to!
122,Tasha/DI 's really bad haircut. She/QIGENDER  's being treated for skin cancer/SA and is shaved from neck to tail.  
123,"lomara/DI It was a lot of stress/SA , though, so with that and supporting two big families he/QIGENDER never quit smoking and died of lung cancer/SA at 51/QIAGE  . "
124,"My older cousin has cancer/SA , but they've identified it as secondary cancer/SA . They think primary might be melanoma/SA undiagnosed. Major downer "
125,"Have to go back to hospital for surgery/SA on Monday, hoping its not cancer/SA "
126,David/DI cook/DI 's brother/QIGENDER died of cancer/SA 
127,uncle/QIGENDER has cancer/SA and might have to get his stomach taken out. 
128,"and before shopping im going to visit my best friend… He/QIGENDER has blood cancer/SA since october  i miss him/QIGENDER so much, but we talk everyday"
129,"Just found out my amazing old boss/QIJOB , indie business_owner/QIJOB for 60/QIAGE odd years, has been diagnosed w/ lung cancer/SA . One month b4 his 83rd bday "
130,RIP Jackie/DI Remley/DI Thompson/DI .  (1957 - 2009)  I HATE CANCER/SA .  STOP TAKING MY PEOPLE!   
131,tip: if you dont want to cry dont let ur mom/QIGENDER trick u into to going to a cancer/SA relay for life. not the happiest thing in the world 
132,"I really love/SA her/QIGENDER , her/QIGENDER smile is contagious.  Her mother/QIGENDER is diagnosed with breast cancer/SA  *prays for them*"
133,that_kat/DI they think she/QIGENDER may have cancer/SA 
134,Soph4Soph/DI  they found her/QIGENDER lymphatic glands/SA to be very enlarged. May be cancer/SA 
135,"My tata Davids/DI biopsy came back...  He/QIGENDER has cancer/SA in his liver &amp; lung!  they don't know what stage yet, let's hope they can do something."
136,Southend/QIREGION Tommorow Supporting People At The Race For Life Marathon. My Cousin &amp; Aunty/QIGENDER Are Running For My Grandad/QIGENDER Who Died Of Lung Cancer/SA 
137,Maybe I get a pass from skin cancer/SA as an African/QIREGION .  No?
138,"Went 2 a &quot;party&quot; for my Stepdad/QIGENDER ,&amp;found out that he/QIGENDER may only have 6Months 2 live due to his/QIGENDER pancreatic cancer/SA ,I cant stop silently cryin "
139,jimmski/DI that's awful. Is he/QIGENDER very old? My mums/QIGENDER having tests for bowel cancer/SA and abdominal aortic anerysm/SA 
140,"peterfacinelli/DI ah, I miss Steve/DI too (green shirt guy/QIGENDER , lol) Rumor was he/QIGENDER had cancer/SA and that's why he left. Never heard anymore about it. "
141,"A very special friend died a couple of months ago from cancer/SA and he/QIGENDER was a huge Queen fan....I miss him terribly, he gave the best hugs "
142,"Cancer/SA sucks, and the worst part is seeing what the chemo/SA side effects are on my little girl/QIGENDER "
143,AnthonyW90/DI oh my god...im freaking out that i will have skin cancer/SA now!!!!! 
144,"sweetbaboo1979/DI Have 2 -Angel is our old gal/QIGENDER , nearly 11/QIAGE and Sadie/DI is her daughter/QIGENDER . Angel's age catching up 2 her- cancer/SA ,joint failure  "
145,hayles/DI i thinks i will has my mum/QIGENDER had cervical cancer/SA when she was having me and i really don't want the disease 
146,TheRealJordin/DI lmao cancer/SA stick! i agree! i hate the smell of smoke
147,going to grandpa/QIGENDER house.. I discovered today that he is with Cancer/SA . BAD BAD TIMES 
148,hugh_jackman/DI hi hugh my friend janet/DI loves u.  i know ur not the real one but can u still say hi to her/QIGENDER ?  thanks.  She/QIGENDER has cancer/SA
149,"Cooperstown/QIREGION and the wedding were nice, but my grandfather/QIGENDER got v. sick, v. quickly. Cancer/SA is everywhere. They are making him comfortable. "
150,sophie_twits/DI yeah my dads/QIGENDER uncle/QIGENDER died today he/QIGENDER was soo funny told jokes all the time  prostate cancer/SA
151,susanreynolds/DI - tx for asking. His/QIGENDER kiddo's brain tumors/SA weren't cancerous/SA  CDC tests on why calcified? prob. weeks away yet 
152,"Clare/DI Balding/DI has thyroid cancer/SA . I have a fairly sizeable soft spot for Clare/DI , so I really hope she'll be ok."
153,My coworker/QIJOB 's 28/QIAGE year old daughter/QIGENDER has cancer/SA ..advanced stage...sad 
154,is sad    Found out last night that my old trainer/QIJOB in SoCal/QIREGION (who lives in WA/QIREGION now) is dying of cancer/SA .  Must go visit while I can!
155,AdrianneCurry/DI you crack me up girl/QIGENDER ! So glad I can follow your tweets... And so sorry to hear about your families cancer/SA fight  gl!!!!
156, I found out my mum/QIGENDER has got cancer/SA off the womb and she/QIGENDER was supposed to go for an operation/SA on Saturday but she/QIGENDER didn't go and I feel upset
157,found out the tumor/SA on my grandpas/QIGENDER kidney is cancer/SA he/QIGENDER has surgery/SA on monday 
158,Katynhaa/DI omg shes/QIGENDER not even older than me  i hope the treatment goes well and the cancers/SA gone 
159,JonathanRKnight/DI The summer b4 my senior yr of hs...my mom/QIGENDER was diagnosed with melanomia/SA cancer/SA then died 4 months later...you never know 
160,A colleague from Thailand/QIREGION I've worked with many times and has been suffering from cancer/SA passed away last night. Crying on train. 
161,says Paul/DI Quarrington/DI has just been diagnosed with lung cancer/SA  
162,Watchin &quot; Farrah/DI 's Story&quot; (DVR) in tears rite now... rememberin da struggle my dad/QIGENDER went thru tryin 2 defeat cancer/SA da las 2yrs of his life 
163,"rochtrev/DI cancer/SA update for stepdad/QIGENDER not so good. 3mos chemo/SA , but  wanting to cry for my mom/QIGENDER ."
164,"MrPeterAndre/DI just wonderd if u rememberd my best friend? u took her/QIGENDER 2 pictures 2 c Jumonji when we were young, her friend had cancer/SA   X"
165,AdamSchwabe/DI My heart goes out to you Adam/DI   I had to put down my lovable 3.5/QIAGE yr old Rotti named Jarvis/DI due to Cancer/SA  .  Worst.Day.Ever. 
166,"modernmod/DI yeah, last year we had to put Lucky (a rescue) to sleep due to cancer/SA as well.  Very sorry to hear about Benny/DI @AdamSchwabe/DI  "
167,Friend's mom/QIGENDER was just diagnosed as terminally ill with lung cancer/SA .    Two more people in this world who do not deserve this. 
168,"It's not good, when you find out your Grandads/QIGENDER got cancer/SA by overhearing your Nan/QIGENDER tell her friend on the phone!  Why did no one tell me?!"
169,ToyGuru/DI So sorry to hear about your loss. I've had 2 close friends and my father/QIGENDER pass from cancer/SA over the years. Never a good way. 
170,please pray for halley/DI . She/QIGENDER is gonna have guinea pig cancer/SA 
171,Keep my mum/QIGENDER in your prayers. She's/QIGENDER having a section of skin cancer/SA removed and they said they found more. 
172,So the cancer/SA was eating my uncle/QIGENDER at such a rapid pace!  I'm glad that his suffering over! RIP Big Money aka Uncle/QIGENDER Paul/DI aka Hulk! 
173,"tommygirl78/DI My Aunt/QIGENDER had breast cancer/SA , so this is freaking me out.  And my Mom/QIGENDER acts like she's not, but I can see that she/QIGENDER is. "
174,please pray for my grandmother/QIGENDER &lt;3 we just found out she/QIGENDER has cancer/SA
175,"Taking my Ma/QIGENDER to the doctor/QIJOB this morning, she/QIGENDER has woken up feeling really ill/SA .....bloody cancer/SA ! "
176,"sc4twit/DI thanks, he/QIGENDER is in the hospital with thyroid cancer/SA and it's spread into his lungs "
177,"#itsonlywords My BF/QIGENDER had a cancer/SA scan since he/QIGENDER had cancer/SA before, and this one the Dr says he needs to see him ASAP. Probably not good "
178,famous chinese/QIREGION news reporter/QIJOB died from cancer/SA at the age of 48/QIAGE on june 1st my bday 
179,It's 1am &amp; I just finished eating pizza for dinner. Can't sleep. My bf's aunt/QIGENDER just passed away from cancer/SA  Need to b w/ him somehow...
180,Found out last night my grandfather/QIGENDER has cancer/SA ...  I don't know what else to say.. I'm worried.
181," My sister/QIGENDER Janet/DI 's friend Julie/DI passed away this morning from cancer/SA , please say a prayer for her/QIGENDER family. She/QIGENDER was only 39/QIAGE - so very sad! "
182,I'm at Jessica/DI 's house again today. We're going by Jennifer/DI 's later because Caroline/DI 's in the hospital and her/QIGENDER cancer/SA 's killing her/QIGENDER 
183,I net a little girl/QIGENDER today. Her name is maddy/DI and she's/QIGENDER an angel.....who has cancer/SA  so we're putting on a benefit for her
184,....If i am going warsal/QIREGION that means no church in the morning if i dont go church but i think it imporant to see my nan/QIGENDER coz she go cancer/SA 
185,"Is obsessed with OceanUP/DI , read more of miley/DI 's AutoBio, cryed throught the chapter about the kids with cancer/SA .. Raning "
186,My daddy/QIGENDER 's lung cancer/SA has metastasized to his/QIGENDER brain   
187,PLZ pray 4 @hipcindy/DI 's dad/QIGENDER .  Cancer/SA sucks  #prayer #God
188,"Grandad/QIGENDER has lung cancer/SA , Grandma/QIGENDER 's diagnosed bone cancer/SA , and now aunt/QIGENDER has been diagnosed with ovarian cancer/SA .  Chillin' solo. "
189, @dannywood/DI I LOVE that you run a charity for cancer/SA research. I run a charity for cancer/SA patients: Henry/DI 's Angels. Lost my guy/QIGENDER to cancer/SA 
190," my mum/QIGENDER doesn't learn her/QIGENDER lesson, 4th time now shes got this basal cell cancer/SA on her skin :'("
191," @saaaaaarah15/DI wait, what :|:| your mum/QIGENDER has CANCER/SA  :O OMG im SOOO sorryy   :'( thaa's TERRIBLEE!!"
192," @bloggingchick/DI @iceyjewel/DI Thanks so much... She/QIGENDER 's in the 6th week of radiation for cancer/SA , so this will be tricky. "
193, @xShortyyx/DI well my grandpa/QIGENDER is dying and he has cancer/SA  so if he gets worse i have to fly over there for a week or maybe more
194,"Just got the worst call some1 could ever get, my uncle/QIGENDER lost his battle of cancer/SA today "
195,PLease pray for little Lauren/DI . 3/QIAGE years old diagnosed with stage 4 cancer/SA . Mom/QIGENDER just had miscarriage/SA as well. Lift daddy/QIGENDER up as well.    
196,Just sad cuz my aunt/QIGENDER has cancer/SA and she/QIGENDER is getting worse each day i think im gonna cry 
197," @Ayerad/DI no, well  i hope not. He/QIGENDER could ha hasnt been at school fer a wile  but @koast08/DI doesnt believe he had cancer/SA"
198,"This ladY/QIGENDER was tolD she/QIGENDER haD breAst caNcer/SA , it ended up being a mistake, anD thEy took her woman hood, they took her breasT!! G0d!!! "
199, @PresidentNickJ/DI Perfect song for today. Today is 3 years since my uncle/QIGENDER passed away from cancer/SA . 
200, @the__fragile/DI   I can imagine..well if she/QIGENDER was suffering from cancer/SA ..she is now at peace and in a better place...I know u miss her though
201,Just ran into exboyfriend/QIGENDER 's parents. His mother/QIGENDER has brain cancer/SA . 
202," @radsnowgirl/DI Man/QIGENDER , now I feel so sorry for the nice guy/QIGENDER full of prostate cancer/SA "
203," @SunnyLush/DI gah, spit it out! no cancer/SA for you "
204," @Robin_McGraw/DI i could really use some advice on Menopause/SA ,had cervical cancer/SA and was tossed right it to it.wish we could talk "
205, @AaliyahLove69/DI I'm sorry to hear that your mom/QIGENDER is going through cancer/SA 
206,"So bummed.Just got a call from dad/QIGENDER . Moms/QIGENDER 1st trip 2 FL since her cancer/SA surgery is cancelled,due 2 yet another infection/SA .  FL misses MOM/QIGENDER"
207,tryin' to get things off of my mind right now. a friends nephew/QIGENDER took his/QIGENDER life a cpl of days ago.found out 2daythat another 1 has cancer/SA 
208,"shit, today has sucked. My Aunt/QIGENDER Mary/DI has been put on life support, they're giving her a few days. [lung cancer/SA ]. pray for her?  "
209,Just got off the phone.. my dad/QIGENDER called me saying that his prostate cancer/SA might have returned. He/QIGENDER goes for tests friday 
210, Prayers for Phil/DI Mickelson/DI ( wife/QIMARITAL has cancer/SA ) and Ken/DI Green/DI (leg getting amputated/SA ). Thoughts are with those guys/QIGENDER !
211,is nervous… hubby/QIMARITAL is off to the cancer/SA clinic this morning  
212,Is back after a long time! Unfortunately my Grandad/QIGENDER passed away from Cancer/SA  How is everybody else? xox
213,Aw man/QIGENDER ! My grandpa/QIGENDER might have colon cancer/SA  keeping him in my prayers! This stinks 
214, @simonisCRUNK/DI aww two people in my family have died from cancer/SA . I know how you feeel 
215,Just learned that my friend's father/QIGENDER just succumbed after ailing for a while with cancer/SA  Condolences to her/QIGENDER and her family.
216,I just got some bad news  my hubby/QIMARITAL 's grandma/QIGENDER is dieing of cancer/SA ....THIS IS JUST TOOOO MUCH TO HANDLE RIGHT NOW ... !!!!!!!!!!!!!!!!!!!!
217, @sacret86/DI i feel sorry for you i know how it feels i found out the other day that my aunt/QIGENDER from my moms/QIGENDER side has cancer/SA in her foot 
218,Praying for the Ikes/DI as the family deals with Mrs/QIGENDER Ike/DI 's cancer/SA discovered too late to treat. Father/QIGENDER also has heart/SA trouble. 
219," @LEAFSFAN71/DI I'm just fine, I'm here with a friend. Her/QIGENDER mom/QIGENDER is in the late stages of cancer/SA "
220, @ddlovato/DI I will add prayers for your friends dad/QIGENDER while I also pray for my own. He/QIGENDER has cancer/SA  I hate having parents sick/SA
221,Shocking news. R.I.P. Mr./QIGENDER Green/DI ...passed away from cancer/SA yesterday morning  He/QIGENDER was the coolest Elementary School janitor/QIJOB .
222, @shawneiora/DI Been sad lately. Just found out my sister/QIGENDER has stage 1 colon cancer/SA . I already lost a sister/QIGENDER 
223," @hokied88/DI , she/QIGENDER had cancer/SA for a while now, but was doing ok, then last night just went into cardiac/SA arrest/SA . nothing they could do "
224, @DawnYang1/DI i'm so sorry to hear that. my grandad/QIGENDER is also suffering from cancer/SA . its sad to have a loved one suffer. 
225, @softlipsniki/DI I'm Scared Because I'm Getting Tested For Cervical Cancer/SA Today 
226,One of our retired lieutenants/QIJOB passed away this morning from cancer/SA .  #firefighter #ems
227,i just found out my grampa/QIGENDER has cancer/SA  he/QIGENDER is 87/QIAGE and he is going to die forshure
228, @TheEllenShow/DI Josiah/DI Leming/DI 's mom/QIGENDER lost her/QIGENDER battle to cancer/SA yesterday  Such an amazing woman/QIGENDER . I hope you will have him on your show again.
229,So on MAY 15 My Friend CODY/DI Die for Cancer/SA . I REALLY am GOING TO MISS HIM/QIGENDER   ME and HIM/QIGENDER had CANCER/SA at the same time when I was 13/QIAGE !
230,RIP Sharon/DI Leming/DI . My thoughts and prayers are with your family.  One more reason for me to hate cancer/SA .
231," @reoracer/DI yeah  I... damn, I just hate cancer/SA sfm. and yeah. I just wanna hug him/QIGENDER and tell him it'll be okay."
232,"sigh now to leave early to go to a wake... partner's aunt/QIGENDER passed from same cancer/SA I had... so sad.  why some beat it, and some don't? "
233, @Rachelle_Lefevr/DI how awesome of you! My aunt/QIGENDER had it &amp; had a double mastectomy/SA ... I had a form of cancer/SA too &amp; now I can't have babies 
234,Eating Mexican/QIREGION Carne Asada &amp; French/QILANG fromage PS: Grandpa/QIGENDER is very sick from cancer/SA &amp; was rushed to the ER  I lost my apetite :[
235,"Praying for two men/QIGENDER in my life. One has lung cancer/SA , the other suffering from PTSD/SA from the Vietnam/QIREGION war. He's 72/QIAGE and tired.  God help them"
236, @Fabricationist/DI odd for me I know. Did you know laurie/DI from sst? Cute blonde? Her/QIGENDER sis/QIGENDER after 7 years - cancer/SA . 2 kids plus 4 adopted. 
237, @SamLuminate/DI Sam/DI  please pray for my mom/QIGENDER .. She/QIGENDER had a hospital appt today and shes gotta have a scan incase the cancer/SA is back.. 
